volume_id,seg_spleen,seg_liver
KORA2406152,379460,48834
KORA2406532,410671,68303
KORA2452036,415225,45590
KORA2452050,236339,28536
KORA2452094,648444,46749
KORA2452118,359418,38702
KORA2452129,300057,38689
KORA2452146,334234,70691
KORA2452162,379455,66810
KORA2452190,456048,39487
KORA2452206,210034,35749
KORA2452252,297286,35765
KORA2452263,298806,29915
KORA2452274,439276,68563
KORA2452291,331339,40813
KORA2452316,246699,17226
KORA2452338,362065,34558
KORA2452353,434303,42296
KORA2452364,307485,71228
KORA2452370,440035,61478
KORA2452381,366433,41285
KORA2452392,369723,68273
KORA2452409,272571,45083
KORA2452415,223706,56261
KORA2452426,282099,54984
KORA2452437,255456,41108
KORA2452460,390001,39597
KORA2452471,349942,36450
KORA2452520,211676,25522
KORA2452542,394447,33783
KORA2452566,403378,46145
KORA2452577,410805,52745
KORA2452604,306005,33634
KORA2452632,201356,68780
KORA2452659,525586,60088
KORA2452665,369772,37109
KORA2452676,290969,50535
KORA2452687,319860,35451
KORA2452698,419387,33078
KORA2452711,318089,25250
KORA2452733,263616,24866
KORA2452744,437231,57707
KORA2452769,357200,40104
KORA2452786,255563,15081
KORA2452797,132296,31232
KORA2452801,295615,59105
KORA2452812,211481,18942
KORA2452834,379760,49448
KORA2452868,417887,52568
KORA2452879,249964,30285
KORA2452885,286254,54455
KORA2452896,305240,40101
KORA2452902,228076,26241
KORA2452913,286718,59549
KORA2452924,315833,44849
KORA2452930,402520,59049
KORA2452941,394547,40183
KORA2452967,264728,30335
KORA2452978,194260,24404
KORA2452995,280572,41050
KORA2453009,248980,21030
KORA2453015,222811,31354
KORA2453037,411853,37925
KORA2453048,220626,28360
KORA2453054,411907,21746
KORA2453060,130088,23876
KORA2453071,320320,14553
KORA2453082,265104,25642
KORA2453093,241490,46724
KORA24531078,380058,70184
KORA2453136,467232,81778
KORA2453147,335514,38971
KORA2453150,209225,16478
KORA2453172,309209,40346
KORA2453194,286652,26357
KORA2453207,252100,33708
KORA2453218,316171,39662
KORA2453246,258531,40451
KORA2453251,323685,45162
KORA2453262,272457,35330
KORA2453273,236395,36227
KORA2453284,308114,50097
KORA2453290,269520,63998
KORA2453306,388376,45930
KORA2453317,262390,16983
KORA2453328,361436,38443
KORA2453339,155114,65473
KORA2453345,254921,35683
KORA2453352,209240,30315
KORA2453363,305598,62410
KORA2453374,395941,40308
KORA2453380,329917,46104
KORA2453391,246661,27411
KORA2453416,229019,15804
KORA2453427,266555,26432
KORA2453438,308417,19076
KORA2453464,239814,27362
KORA2453470,468010,155917
KORA2453524,321774,52686
KORA2453541,338020,40848
KORA2453578,416727,32598
KORA2453589,358267,44616
KORA2453620,405803,46133
KORA2453642,278688,134454
KORA2453666,537976,43001
KORA2453677,302071,41552
KORA2453710,407622,56564
KORA2453732,282878,30013
KORA2453765,360163,41332
KORA2453787,312310,25958
KORA2453800,461814,44124
KORA2453811,317114,33846
KORA2453822,365305,40329
KORA2453833,372689,17536
KORA2453844,298240,23413
KORA2453858,422025,41506
KORA2454788,266807,44733
KORA2454859,393150,49909
KORA2454887,514304,100671
KORA2454944,313592,52710
KORA2455014,336096,55005
KORA2455042,388059,79950
KORA2455167,339081,48993
KORA2455195,435118,43999
KORA2455212,408327,62912
KORA2455268,429512,41115
KORA2455296,666946,54246
KORA2455375,371825,45529
KORA2455432,363168,55300
KORA2455443,325999,41108
KORA2455465,468675,39469
KORA2455476,395414,36931
KORA2455525,429782,31855
KORA2455536,237364,47684
KORA2455572,401882,38802
KORA2455615,468432,82361
KORA2455727,353135,63026
KORA2455753,349510,60729
KORA2455764,310560,47040
KORA2455792,269767,38467
KORA2455852,354978,38015
KORA2455935,362024,17502
KORA2455946,331147,55423
KORA2455951,427455,86007
KORA2456004,238910,34194
KORA2456021,400790,41403
KORA2456120,275656,65042
KORA2456199,252657,21638
KORA2456202,355444,47198
KORA2456224,413537,35696
KORA2456230,267265,29716
KORA2456241,194500,30071
KORA2456278,223751,24454
KORA2456289,329035,43100
KORA2456340,264596,36701
KORA2456357,341728,48778
KORA2456368,235677,25594
KORA2456379,380634,32840
KORA2456385,261285,28474
KORA2456422,369534,62014
KORA2456535,360277,40188
KORA2456551,242081,39169
KORA2456562,527926,52520
KORA2456619,467623,47357
KORA2456636,318968,51018
KORA2456661,283185,34660
KORA2456672,464866,68339
KORA2456683,242798,24897
KORA2456793,284654,22415
KORA2456816,329822,44861
KORA2456849,355779,64540
KORA2456892,391140,55516
KORA2456917,265399,35032
KORA2456928,427647,50511
KORA2456980,247520,26713
KORA2457044,498921,55817
KORA2457143,336671,48864
KORA2457266,356912,46999
KORA2457401,440799,60366
KORA2457517,298263,27193
KORA2457826,222668,19811
KORA2457938,242282,32555
KORA2458040,364571,33749
KORA2458057,271990,29491
KORA2458068,507213,36714
KORA2458096,315035,47755
KORA2458158,278484,32335
KORA2458169,258357,41828
KORA2458186,372793,25033
KORA2458197,471921,57013
KORA2458265,719669,120761
KORA2458314,311123,47459
KORA2458342,454031,62406
KORA2458366,311050,19119
KORA2458402,306865,38535
KORA2458424,428823,63535
KORA2458478,431460,60216
KORA2458674,340118,37297
KORA2458691,292744,20596
KORA2458707,366681,32677
KORA2458729,343866,50390
KORA2458773,370065,56935
KORA2458784,278969,33674
KORA2458808,303228,39646
KORA2458819,286266,58193
KORA2458926,351053,57031
KORA2458960,375874,57728
KORA2459067,289341,42748
KORA2459095,538844,77893
KORA2459112,354609,36984
KORA2459123,345619,19321
KORA2459134,191098,19735
KORA2459222,313060,29235
KORA2459233,303981,68026
KORA2459244,525530,34062
KORA2459258,331457,57667
KORA2459275,307487,51749
KORA2459286,322875,40086
KORA2459310,321889,40968
KORA2459321,418166,41416
KORA2459343,402063,48521
KORA2459365,347967,63472
KORA2459376,328161,22581
KORA2459420,369928,45774
KORA2459431,372294,46548
KORA2459455,319061,32741
KORA2459477,300516,47549
KORA2459499,412984,53730
KORA2459526,430227,53237
KORA2459548,351042,65188
KORA2459560,366621,31213
KORA2459582,247676,38450
KORA2459605,322916,38562
KORA2459638,278758,7579
KORA2459670,262193,34291
KORA2459681,328175,38158
KORA2459692,184399,24200
KORA2459745,480926,55042
KORA2459752,464616,93691
KORA2459763,404354,74980
KORA2459774,414503,37614
KORA2459780,326870,28983
KORA2459807,307548,49116
KORA2459818,391951,52659
KORA2459873,364647,34680
KORA2459890,249325,42770
KORA2459908,417020,34702
KORA2459925,290136,27842
KORA2459936,321384,86174
KORA2459947,225234,24282
KORA2459961,272528,36279
KORA2459972,376115,60215
KORA2459983,280693,29062
KORA2459994,240084,31989
KORA2460145,361732,51270
KORA2460152,372570,48827
KORA2460174,249167,24655
KORA2460191,299486,35793
KORA2460205,346390,49590
KORA2460216,418729,61438
KORA2460227,338199,52555
KORA2460238,441166,89630
KORA2460249,211074,11226
KORA2460253,435344,59006
KORA2460270,319131,27952
KORA2460309,238592,9491
KORA2460315,383957,24354
KORA2460326,328745,56431
KORA2460348,294636,49924
KORA2460354,474741,36248
KORA2460360,329023,34667
KORA2460371,369133,55482
KORA2460382,501182,10227
KORA2460408,338614,28187
KORA2460436,321571,57951
KORA2460447,274889,52487
KORA2460450,445618,77517
KORA2460461,262302,24940
KORA2460472,321127,48753
KORA2460504,266524,26611
KORA2460510,393849,16715
KORA2460521,298924,19709
KORA2460532,391702,65444
KORA2460543,245772,30330
KORA2460565,341810,52644
KORA2460576,324364,37714
KORA2460611,505964,67395
KORA2460633,360585,44276
KORA2460675,263076,28001
KORA2460686,278831,27091
KORA2460697,512587,91848
KORA2460701,290596,35384
KORA2460712,449706,80231
KORA2460723,213017,32751
KORA2460734,295875,27566
KORA2460757,308945,50604
KORA2460768,293411,54196
KORA2460779,288261,54726
KORA2460785,367864,42361
KORA2460796,421645,85535
KORA2460813,283040,27019
KORA2460824,317546,44941
KORA2460830,351941,46566
KORA2460856,339456,61135
KORA2460867,279775,37946
KORA2460878,379838,43175
KORA2460889,335914,34374
KORA2460903,372980,44742
KORA2460955,362001,47405
KORA2460977,408107,15125
KORA2461008,322754,52759
KORA2461047,442848,58359
KORA2461050,346895,55339
KORA2461061,351902,64808
KORA2461135,347879,35957
KORA2461146,420016,42046
KORA2461151,390464,49452
KORA2461184,341424,29792
KORA2461190,478759,89703
KORA2461206,260850,32719
KORA2461252,389550,54825
KORA2461274,496236,43610
KORA2461338,405070,39405
KORA2461349,396925,62641
KORA2461381,380333,33886
KORA2461392,482036,107315
KORA2461409,308769,28279
KORA2461448,257870,6518
KORA2461460,228925,21897
KORA2461493,320076,64215
KORA2461520,299171,34107
KORA2461542,349707,51114
KORA2461555,337509,54590
KORA2461577,281981,15218
KORA2461588,432147,76884
KORA2461599,305097,16294
KORA2461632,399406,38935
KORA2461700,387514,24850
KORA2461775,528086,69607
KORA2461801,300456,34380
KORA2461868,321775,30074
KORA2461885,484648,87879
KORA2461902,523688,51529
KORA2461930,220301,31684
KORA2461956,345115,46534
KORA2461995,337393,25163
KORA2462026,355683,75505
KORA2462048,338811,42621
KORA2462054,443708,41400
KORA2462093,347631,20926
KORA2462119,412213,44441
KORA2462147,348763,40492
KORA2462150,285370,29759
KORA2462161,439969,52525
KORA2462194,256049,36558
KORA2462235,333322,19163
KORA2462306,369301,90394
KORA2462328,274017,26322
KORA2462345,401037,21119
KORA2462352,723049,61888
KORA2462374,331078,35889
KORA2462380,439855,49444
KORA2462405,318186,44594
KORA30081952,367458,56997
