volume_id,seg_spleen,seg_liver
KORA2453427,107934,10821
KORA2453578,162782,12793
KORA2457938,97145,13146
KORA2452930,163608,24086
KORA2453464,97311,11320
KORA2460191,121519,14726
KORA2456892,153044,21842
KORA2453262,110787,14490
KORA2459908,169516,14040
KORA2460697,200550,36154
KORA2452036,169178,18734
KORA2462405,129724,18292
KORA2452896,123610,16420
KORA2460371,149939,22747
KORA2461555,131241,21606
KORA2452291,128840,16015
KORA2460757,125616,20774
KORA2458096,127174,19428
KORA2461577,109567,5988
KORA2462147,136558,16123
KORA2460270,129376,11531
KORA2456385,105344,11861
KORA2452146,136216,28928
KORA2460326,133556,23136
KORA2452786,102487,6173
KORA2461146,163678,16592
KORA2456340,106638,15034
KORA2461520,116346,13442
KORA2462093,136218,8241
KORA2452698,170059,13540
KORA2455852,144320,15578
KORA2453524,124659,20701
KORA2459233,122876,27963
KORA2452426,114717,22601
KORA2459431,150678,18872
KORA2456278,89803,9893
KORA2455792,109354,15814
KORA2462054,173559,16376
KORA2458265,282807,47600
KORA2460543,95860,11936
KORA2456368,95634,10539
KORA2453093,98251,19209
KORA2455615,190709,33641
KORA2462194,98923,14488
KORA2452338,147543,14165
KORA2456535,146246,16476
KORA2452190,170144,14900
KORA2453811,123111,13283
KORA2455572,164252,15756
KORA2455443,94048,12054
KORA2458366,125899,7887
KORA2460174,99955,10098
KORA2456224,161517,14041
KORA2452868,170345,21454
KORA2452050,95939,11645
KORA2460824,127706,18398
KORA2453416,93018,6435
KORA2452687,129818,14510
KORA2452162,154208,27286
KORA2460309,96859,3902
KORA2456289,128051,16972
KORA2459134,77007,8089
KORA2459548,143050,26772
KORA2452902,92055,10786
KORA2461274,193478,17180
KORA2456004,97452,13987
KORA2460504,108263,10832
KORA2461902,204526,20326
KORA2461409,120411,11051
KORA2459947,90877,9936
KORA2453710,159554,22327
KORA2455375,150821,18688
KORA2459455,129078,13538
KORA2462374,134678,14679
KORA2459560,148856,12703
KORA2460145,146382,21113
KORA2458314,126112,19616
KORA2452381,142997,16240
KORA2457044,203663,22957
KORA2452744,177623,23684
KORA2459112,138595,14588
KORA2452924,127888,18258
KORA2452665,150432,15159
KORA2452577,173488,22505
KORA2461151,152419,19413
KORA2460701,117552,14571
KORA2461801,116884,13593
KORA2462150,111355,11666
KORA2459582,99438,15696
KORA2452676,117424,20589
KORA2453009,101406,8602
KORA2460348,118884,20427
KORA2459499,161728,21178
KORA2461632,155764,15314
KORA2455951,168186,33894
KORA2453147,130131,15316
KORA2459365,141105,26095
KORA2453589,140826,17531
KORA2456021,156567,16206
KORA2453666,210699,16901
KORA2459763,158442,29618
KORA2452879,100995,12486
KORA2452941,159961,16387
KORA2453642,108976,52805
KORA2460315,157056,9961
KORA2460382,196004,4025
KORA2453858,165563,16508
KORA2459095,210419,30731
KORA2460354,193045,14834
KORA2458040,148440,13883
KORA2460521,116483,7762
KORA2453620,158232,18114
KORA2453352,85340,12470
KORA2459745,196650,22415
KORA2452978,77313,10092
KORA2459123,140033,7910
KORA2460712,175300,31568
KORA2459376,132674,9104
KORA2453082,107290,10455
KORA2452263,121559,12287
KORA2460436,130974,23855
KORA2460216,156608,23175
KORA2460253,184970,25180
KORA2453328,146917,15710
KORA2453108,155721,31246
KORA2461061,143138,26700
KORA2460675,102080,11040
KORA2457517,120670,11168
KORA2452364,123944,29165
KORA2452733,106879,10121
KORA2453015,89852,12786
KORA2456230,108670,12174
KORA2458057,106061,11084
KORA2453150,82530,6666
KORA2455465,136233,11576
KORA2455764,126324,18878
KORA2452542,153714,13346
KORA2452995,113508,16914
KORA2452274,172325,27080
KORA2461542,136314,20164
KORA2458926,136290,22280
KORA2452471,142470,14888
KORA2453844,121574,9667
KORA2461338,159043,15558
KORA2461775,207699,27385
KORA2460796,164850,33655
