volume_id,seg_liver,seg_spleen
KORA2406152,1867331.0,240313.0
KORA2406532,1939276.0,322541.0
KORA2452036,2043331.0,224349.0
KORA2452050,1163035.0,140427.0
KORA2452094,3322582.0,239539.0
KORA2452118,1768704.0,190453.0
KORA2452129,1416946.0,182699.0
KORA2452146,1644788.0,347875.0
KORA2452162,1867306.0,328773.0
KORA2452190,2064778.0,178779.0
KORA2452206,1033587.0,175922.0
KORA2452252,1462951.0,176000.0
KORA2452263,1470431.0,147212.0
KORA2452274,2074355.0,323769.0
KORA2452291,1564654.0,192728.0
KORA2452316,1214011.0,84770.0
KORA2452338,1781738.0,170061.0
KORA2452353,2137215.0,208140.0
KORA2452364,1513140.0,350515.0
KORA2452370,2077939.0,290312.0
KORA2452381,1730391.0,194958.0
KORA2452392,1745927.0,322403.0
KORA2452409,1341328.0,221854.0
KORA2452415,1100867.0,276863.0
KORA2452426,1388228.0,270580.0
KORA2452437,1257110.0,202294.0
KORA2452460,1919212.0,194859.0
KORA2452471,1722080.0,179372.0
KORA2452520,1041662.0,125594.0
KORA2452542,1862663.0,159531.0
KORA2452566,1985050.0,227083.0
KORA2452577,2104946.0,270263.0
KORA2452604,1505857.0,165514.0
KORA2452632,990877.0,338468.0
KORA2452659,2481929.0,283748.0
KORA2452665,1819656.0,182614.0
KORA2452676,1431871.0,248685.0
KORA2452687,1574038.0,174455.0
KORA2452698,2063831.0,162779.0
KORA2452711,1502091.0,119236.0
KORA2452733,1297260.0,122366.0
KORA2452744,2151643.0,283980.0
KORA2452769,1830268.0,205490.0
KORA2452786,1257637.0,74214.0
KORA2452797,651032.0,153693.0
KORA2452801,1395963.0,279108.0
KORA2452812,1040707.0,93214.0
KORA2452834,1793308.0,233504.0
KORA2452868,2056431.0,258688.0
KORA2452879,1230078.0,149033.0
KORA2452885,1351753.0,257148.0
KORA2452896,1502093.0,197338.0
KORA2452902,1122370.0,129133.0
KORA2452913,1410946.0,293042.0
KORA2452924,1554221.0,220703.0
KORA2452930,1980810.0,290581.0
KORA2452941,1941574.0,197741.0
KORA2452967,1302732.0,149279.0
KORA2452978,955962.0,120093.0
KORA2452995,1380713.0,202010.0
KORA2453009,1225236.0,103489.0
KORA2453015,1096458.0,154294.0
KORA2453037,2026738.0,186630.0
KORA2453048,1085710.0,139561.0
KORA2453054,1945130.0,102690.0
KORA2453060,640166.0,117494.0
KORA2453071,1576316.0,71616.0
KORA2453082,1304588.0,126185.0
KORA2453093,1188383.0,229931.0
KORA24531078,1870274.0,345377.0
KORA2453136,2299279.0,402435.0
KORA2453147,1584376.0,184030.0
KORA2453150,1029605.0,81089.0
KORA2453172,1460151.0,190522.0
KORA2453194,1410621.0,129703.0
KORA2453207,1240590.0,165878.0
KORA2453218,1493040.0,187294.0
KORA2453246,1220839.0,191018.0
KORA2453251,1592861.0,222243.0
KORA2453262,1340767.0,173860.0
KORA2453273,1163310.0,178275.0
KORA2453284,1516236.0,246528.0
KORA2453290,1272731.0,302212.0
KORA2453306,1911207.0,226023.0
KORA2453317,1239067.0,80198.0
KORA2453328,1778642.0,189180.0
KORA2453339,763323.0,322196.0
KORA2453345,1254472.0,175597.0
KORA2453352,1029675.0,149181.0
KORA2453363,1503861.0,307122.0
KORA2453374,1869718.0,190343.0
KORA2453380,1623529.0,226879.0
KORA2453391,1213824.0,134890.0
KORA2453416,1127013.0,77772.0
KORA2453427,1311729.0,130073.0
KORA2453438,1456411.0,90081.0
KORA2453464,1180130.0,134649.0
KORA2453470,2210043.0,736273.0
KORA2453524,1519486.0,248795.0
KORA2453541,1596210.0,192894.0
KORA2453578,1967892.0,153936.0
KORA2453589,1691813.0,210686.0
KORA2453620,1916280.0,217849.0
KORA2453642,1316024.0,634921.0
KORA2453666,2540438.0,203060.0
KORA2453677,1426444.0,196217.0
KORA2453710,1924878.0,267107.0
KORA2453732,1335816.0,141728.0
KORA2453765,1700767.0,195179.0
KORA2453787,1474795.0,122579.0
KORA2453800,2180784.0,208363.0
KORA2453811,1497480.0,159828.0
KORA2453822,1928008.0,212849.0
KORA2453833,1759925.0,82809.0
KORA2453844,1467646.0,115216.0
KORA2453858,1992892.0,196000.0
KORA2454788,1312963.0,220132.0
KORA2454859,1326881.0,168443.0
KORA2454887,1735776.0,339765.0
KORA2454944,1543200.0,259388.0
KORA2455014,1134324.0,185642.0
KORA2455042,1309699.0,269831.0
KORA2455167,1601213.0,231355.0
KORA2455195,1530349.0,154748.0
KORA2455212,1378104.0,212328.0
KORA2455268,1449603.0,138763.0
KORA2455296,2250943.0,183080.0
KORA2455375,1829759.0,224049.0
KORA2455432,1225692.0,186638.0
KORA2455443,1146568.0,144581.0
KORA2455465,1648372.0,138816.0
KORA2455476,1945841.0,181738.0
KORA2455525,2114967.0,156759.0
KORA2455536,1168079.0,234655.0
KORA2455572,1977670.0,190945.0
KORA2455615,2305185.0,405304.0
KORA2455727,1667579.0,297622.0
KORA2455753,1719954.0,298850.0
KORA2455764,1528279.0,231486.0
KORA2455792,1327529.0,189297.0
KORA2455852,1746862.0,187073.0
KORA2455935,1709570.0,82649.0
KORA2455946,1629589.0,272739.0
KORA2455951,2018552.0,406147.0
KORA2456004,1175687.0,168270.0
KORA2456021,1892616.0,195514.0
KORA2456120,1356509.0,320073.0
KORA2456199,1193106.0,102180.0
KORA2456202,1678490.0,222880.0
KORA2456224,1952819.0,168565.0
