volume_id,seg_liver,seg_spleen
KORA2453427,1295208,129852
KORA2453578,1953384,153516
KORA2457938,1165740,157752
KORA2452930,1963296,289032
KORA2453464,1167732,135840
KORA2460191,1458228,176712
KORA2456892,1836528,262104
KORA2453262,1329444,173880
KORA2459908,2034192,168480
KORA2460697,2406600,433848
KORA2452036,2030136,224808
KORA2462405,1556688,219504
KORA2452896,1483320,197040
KORA2460371,1799268,272964
KORA2461555,1574892,259272
KORA2452291,1546080,192180
KORA2460757,1507392,249288
KORA2458096,1526088,233136
KORA2461577,1314804,71856
KORA2462147,1638696,193476
KORA2460270,1552512,138372
KORA2456385,1264128,142332
KORA2452146,1634592,347136
KORA2460326,1602672,277632
KORA2452786,1229844,74076
KORA2461146,1964136,199104
KORA2456340,1279656,180408
KORA2461520,1396152,161304
KORA2462093,1634616,98892
KORA2452698,2040708,162480
KORA2455852,1731840,186936
KORA2453524,1495908,248412
KORA2459233,1474512,335556
KORA2452426,1376604,271212
KORA2459431,1808136,226464
KORA2456278,1077636,118716
KORA2455792,1312248,189768
KORA2462054,2082708,196512
KORA2458265,3393684,571200
KORA2460543,1150320,143232
KORA2456368,1147608,126468
KORA2453093,1179012,230508
KORA2455615,2288508,403692
KORA2462194,1187076,173856
KORA2452338,1770516,169980
KORA2456535,1754952,197712
KORA2452190,2041728,178800
KORA2453811,1477332,159396
KORA2455572,1971024,189072
KORA2455443,1128576,144648
KORA2458366,1510788,94644
KORA2460174,1199460,121176
KORA2456224,1938204,168492
KORA2452868,2044140,257448
KORA2452050,1151268,139740
KORA2460824,1532472,220776
KORA2453416,1116216,77220
KORA2452687,1557816,174120
KORA2452162,1850496,327432
KORA2460309,1162308,46824
KORA2456289,1536612,203664
KORA2459134,924084,97068
KORA2459548,1716600,321264
KORA2452902,1104660,129432
KORA2461274,2321736,206160
KORA2456004,1169424,167844
KORA2460504,1299156,129984
KORA2461902,2454312,243912
KORA2461409,1444932,132612
KORA2459947,1090524,119232
KORA2453710,1914648,267924
KORA2455375,1809852,224256
KORA2459455,1548936,162456
KORA2462374,1616136,176148
KORA2459560,1786272,152436
KORA2460145,1756584,253356
KORA2458314,1513344,235392
KORA2452381,1715964,194880
KORA2457044,2443956,275484
KORA2452744,2131476,284208
KORA2459112,1663140,175056
KORA2452924,1534656,219096
KORA2452665,1805184,181908
KORA2452577,2081856,270060
KORA2461151,1829028,232956
KORA2460701,1410624,174852
KORA2461801,1402608,163116
KORA2462150,1336260,139992
KORA2459582,1193256,188352
KORA2452676,1409088,247068
KORA2453009,1216872,103224
KORA2460348,1426608,245124
KORA2459499,1940736,254136
KORA2461632,1869168,183768
KORA2455951,2018232,406728
KORA2453147,1561572,183792
KORA2459365,1693260,313140
KORA2453589,1689912,210372
KORA2456021,1878804,194472
KORA2453666,2528388,202812
KORA2459763,1901304,355416
KORA2452879,1211940,149832
KORA2452941,1919532,196644
KORA2453642,1307712,633660
KORA2460315,1884672,119532
KORA2460382,2352048,48300
KORA2453858,1986756,198096
KORA2459095,2525028,368772
KORA2460354,2316540,178008
KORA2458040,1781280,166596
KORA2460521,1397796,93144
KORA2453620,1898784,217368
KORA2453352,1024080,149640
KORA2459745,2359800,268980
KORA2452978,927756,121104
KORA2459123,1680396,94920
KORA2460712,2103600,378816
KORA2459376,1592088,109248
KORA2453082,1287480,125460
KORA2452263,1458708,147444
KORA2460436,1571688,286260
KORA2460216,1879296,278100
KORA2460253,2219640,302160
KORA2453328,1763004,188520
KORA2453108,1868652,374952
KORA2461061,1717656,320400
KORA2460675,1224960,132480
KORA2457517,1448040,134016
KORA2452364,1487328,349980
KORA2452733,1282548,121452
KORA2453015,1078224,153432
KORA2456230,1304040,146088
KORA2458057,1272732,133008
