,,,train_0.01,val_0.01,test_0.01,train_0.005,val_0.005,test_0.005,train_0.001,val_0.001,test_0.001,train_0.0005,val_0.0005,test_0.0005,train_0.0001,val_0.0001,test_0.0001
MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327,0.8484536082474227,0.7878787878787878,0.7367050124994704,0.8484536082474227,0.7878787878787878,0.7366991864751493,0.8484536082474227,0.7878787878787878,0.7366945710532846
MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8424742268041236,0.7994227994227995,0.7396939899641057,0.8488659793814433,0.8033910533910533,0.7385059349785421,0.849278350515464,0.7831890331890332,0.7295991543941842,0.8482474226804124,0.7812049062049061,0.728057830479338,0.8480412371134021,0.7804834054834056,0.7267627128390444
MC_dropout_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8734020618556702,0.7931096681096681,0.6986973160943543,0.8738144329896906,0.7931096681096681,0.6982009690872661,0.8736082474226804,0.7932900432900433,0.6978050264213986,0.8736082474226804,0.7931096681096681,0.6977591748533658,0.87340206185567,0.7931096681096681,0.6977087835261218
MC_dropout_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8748453608247422,0.6982323232323233,0.6880597523107375,0.8742268041237113,0.6902958152958154,0.6848295623066819,0.8738144329896907,0.6865079365079365,0.6821196287082267,0.874020618556701,0.6863275613275613,0.6818357424322214,0.8738144329896907,0.6857864357864357,0.6816243409782878
MC_dropout_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8635051546391752,0.7941919191919191,0.7236556259722651,0.8635051546391752,0.7940115440115441,0.7234605676514918,0.8635051546391752,0.7940115440115441,0.7233165816218442,0.8635051546391752,0.7940115440115441,0.7233099989709879,0.8635051546391752,0.7940115440115441,0.7232910076449545
et_KORA_processed_diabetes_status,diabetes_status,0,0.8482474226804123,,,0.8484536082474227,,,0.8484536082474227,,,0.8484536082474227,,,0.8484536082474227,,
et_KORA_processed_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8655670103092783,,,0.8657731958762886,,,0.865979381443299,,,0.865979381443299,,,0.865979381443299,,
full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,,0.8484536082474227,0.788059163059163,,0.8484536082474227,0.7878787878787878,,0.8484536082474227,0.7878787878787878,,0.8484536082474227,0.7878787878787878,
full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8397938144329897,0.7929292929292929,,0.8472164948453608,0.8024891774891775,,0.8468041237113402,0.7997835497835498,,0.8465979381443298,0.7988816738816737,,0.845360824742268,0.797077922077922,
full_bayesian_0dot01_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8676288659793815,0.8176406926406926,,0.8678350515463917,0.8176406926406926,,0.8674226804123711,0.8174603174603173,,0.8674226804123711,0.8174603174603173,,0.8674226804123711,0.8174603174603173,
full_bayesian_0dot01_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8723711340206185,0.8165584415584416,,0.8723711340206185,0.8169191919191919,,0.8725773195876289,0.8165584415584416,,0.8721649484536083,0.8167388167388167,,0.8721649484536083,0.8165584415584416,
full_bayesian_0dot01_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7863917525773195,0.7617243867243868,,0.8550515463917526,0.8037518037518037,,0.8550515463917526,0.8039321789321789,,0.8552577319587629,0.8037518037518038,,0.8552577319587629,0.8037518037518038,
