,,,train_0.01,val_0.01,test_0.01,train_0.005,val_0.005,test_0.005,train_0.001,val_0.001,test_0.001,train_0.0005,val_0.0005,test_0.0005,train_0.0001,val_0.0001,test_0.0001
MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7303763600539783,0.8484536082474227,0.788059163059163,0.7303306785403006,0.8484536082474227,0.7878787878787878,0.7302887049416942,0.8484536082474227,0.7878787878787878,0.7302833655439915,0.8484536082474227,0.7878787878787878,0.7302798059455231
MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8443298969072165,0.800865800865801,0.7333992748949603,0.8498969072164948,0.8080808080808081,0.7288204447317832,0.8542268041237113,0.8039321789321789,0.7116682228786221,0.8536082474226804,0.8037518037518038,0.7087948853316139,0.8534020618556701,0.8039321789321789,0.7064684652576144
MC_dropout_quicknat_diabetes_status_spleen_seg_reg_iou,diabetes_status_spleen_seg_reg_iou,0,0.8397938144329897,0.790945165945166,0.7311073384311233,0.8406185567010309,0.7862554112554112,0.7309870536662121,0.8354639175257732,0.7411616161616161,0.7244505926620213,0.8358762886597938,0.7359307359307359,0.7235730033229593,0.8352577319587629,0.7326839826839826,0.7228669421350932
MC_dropout_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8624742268041238,0.8143939393939394,0.6906248407913966,0.8628865979381444,0.8142135642135643,0.6903216816551718,0.8628865979381444,0.8142135642135642,0.6900784424264982,0.8628865979381444,0.8142135642135642,0.6900064347158147,0.8628865979381444,0.8142135642135642,0.6900176326193298
MC_dropout_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8635051546391753,0.8189033189033189,0.691069271491836,0.8630927835051546,0.8181818181818181,0.689904912001164,0.8635051546391753,0.8169191919191919,0.6889655487970152,0.8635051546391753,0.8169191919191919,0.6889412990324493,0.8635051546391752,0.8163780663780663,0.6887467818078119
MC_dropout_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8600000000000001,0.8140331890331891,0.7048377242092815,0.8602061855670103,0.8138528138528138,0.7046156200965141,0.8606185567010309,0.8140331890331891,0.7044447593700311,0.8606185567010309,0.8140331890331891,0.7044185814896281,0.8606185567010309,0.8140331890331891,0.7044145769413512
MC_dropout_quicknat_diabetes_status_with_spleen_seg_and_iou,diabetes_status_with_spleen_seg_and_iou,0,0.8531958762886598,0.7509018759018758,0.715236572026584,0.85340206185567,0.7507215007215008,0.715054884188093,0.8538144329896907,0.7507215007215008,0.7149172463806485,0.8538144329896907,0.7507215007215008,0.7149122777744531,0.8536082474226805,0.7507215007215008,0.7148830594036917
MC_dropout_quicknat_diabetes_status_with_spleen_seg_dot_iou,diabetes_status_with_spleen_seg_dot_iou,0,0.8534020618556701,0.7269119769119768,0.715419149764692,0.8531958762886598,0.7263708513708514,0.7150388659949852,0.8538144329896908,0.726010101010101,0.7147429743722999,0.8536082474226805,0.7258297258297258,0.7146775667504432,0.8536082474226805,0.726010101010101,0.7146793465496774
MC_dropout_quicknat_diabetes_status_with_spleen_seg_volumes,diabetes_status_with_spleen_seg_volumes,0,0.5987628865979381,0.5027056277056277,0.5712728389955792,0.8470103092783504,0.7543290043290043,0.7279120055393284,0.8472164948453608,0.7543290043290043,0.7278795983616059,0.8472164948453608,0.7543290043290043,0.7278789309368929,0.8472164948453608,0.7543290043290043,0.7278785601453859
et_KORA_processed_diabetes_status,diabetes_status,0,0.8482474226804123,,,0.8484536082474227,,,0.8484536082474227,,,0.8484536082474227,,,0.8484536082474227,,
et_KORA_processed_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8618556701030927,,,0.8618556701030928,,,0.8618556701030927,,,0.8618556701030927,,,0.8618556701030927,,
et_KORA_processed_diabetes_status_with_spleen_seg_volumes,diabetes_status_with_spleen_seg_volumes,0,0.8457731958762886,,,0.8463917525773196,,,0.8461855670103093,,,0.8461855670103093,,,0.8461855670103093,,
full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7343123463516854,0.8484536082474227,0.788059163059163,0.7342590161443994,0.8484536082474227,0.7878787878787878,0.7342120656254616,0.8484536082474227,0.7878787878787878,0.734206284032896,0.8484536082474227,0.7878787878787878,0.7342034929192438
full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8397938144329897,0.7923881673881674,0.7348380725446324,0.8457731958762886,0.8064574314574314,0.7330604820372897,0.8505154639175257,0.8091630591630592,0.7182241180529431,0.8496907216494846,0.8088023088023087,0.7154793568237445,0.8501030927835052,0.8091630591630591,0.7132218442921427
full_bayesian_0dot01_diabetes_status_spleen_seg_reg_iou,diabetes_status_spleen_seg_reg_iou,0,0.8393814432989691,0.7931096681096681,0.7347517473866703,0.8397938144329897,0.7871572871572872,0.7350066358727084,0.840618556701031,0.7808441558441559,0.7335642780515396,0.8404123711340206,0.777958152958153,0.7333076949607839,0.8402061855670103,0.7761544011544012,0.7330777271323561
full_bayesian_0dot01_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8624742268041237,0.8160173160173159,0.6867070620558267,0.8622680412371134,0.8161976911976911,0.6863979462188285,0.8624742268041237,0.8161976911976911,0.686160801241009,0.8624742268041237,0.8161976911976911,0.6861015897585269,0.862680412371134,0.8161976911976911,0.6860994964232875
full_bayesian_0dot01_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8665979381443298,0.812049062049062,0.6842340356772109,0.8661855670103092,0.8111471861471862,0.6835347620246658,0.865979381443299,0.810966810966811,0.6829670694443032,0.865979381443299,0.810966810966811,0.682931084014714,0.865979381443299,0.810966810966811,0.6828236261390984
full_bayesian_0dot01_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.857319587628866,0.8143939393939393,0.7137756809868739,0.8571134020618556,0.8142135642135642,0.7135763157259917,0.8569072164948454,0.8142135642135642,0.7134234025708948,0.8569072164948454,0.8142135642135642,0.7133954914343713,0.8569072164948454,0.8142135642135642,0.7133879155544577
full_bayesian_0dot01_diabetes_status_with_spleen_seg_and_iou,diabetes_status_with_spleen_seg_and_iou,0,0.8461855670103092,0.7792207792207791,0.730282725857415,0.8455670103092783,0.7788600288600289,0.7302675740975881,0.845979381443299,0.7786796536796537,0.730249033128326,0.8457731958762886,0.7786796536796537,0.7302444477273257,0.845979381443299,0.7784992784992786,0.7302486343978042
full_bayesian_0dot01_diabetes_status_with_spleen_seg_dot_iou,diabetes_status_with_spleen_seg_dot_iou,0,0.8457731958762886,0.7977994227994228,0.7343199720729143,0.845979381443299,0.7976190476190476,0.7343076114267395,0.845979381443299,0.7976190476190476,0.7343064152351743,0.845979381443299,0.7976190476190476,0.7343071130135873,0.845979381443299,0.7976190476190476,0.7343073123788483
