,,,train_0.01,val_0.01,test_0.01,train_0.005,val_0.005,test_0.005,train_0.001,val_0.001,test_0.001,train_0.0005,val_0.0005,test_0.0005,train_0.0001,val_0.0001,test_0.0001
MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.6274226804123711,0.5867604617604618,0.5910171530375944,0.8463917525773196,0.7873376623376623,0.7303146603471928,0.8463917525773196,0.7873376623376623,0.7303150311387,0.8463917525773196,0.7873376623376623,0.7303154760885084,0.8463917525773196,0.7873376623376623,0.7303148828220971
MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8490721649484536,0.7976190476190476,0.7035314257296825,0.8455670103092784,0.7954545454545455,0.6756725991083057,0.8414432989690721,0.7886002886002885,0.6546315159284245,0.8402061855670103,0.7887806637806638,0.6522359061591955,0.8391752577319589,0.7880591630591631,0.6503539167856351
MC_dropout_quicknat_diabetes_status_spleen_seg_reg_iou,diabetes_status_spleen_seg_reg_iou,0,0.8334020618556701,0.7712842712842713,0.7149119069829459,0.8344329896907215,0.7716450216450217,0.7114476019318831,0.8278350515463917,0.7296176046176046,0.7064665371417774,0.828659793814433,0.7229437229437229,0.7056295123935948,0.8270103092783505,0.7178932178932179,0.7049944948584937
MC_dropout_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8595876288659793,0.8095238095238095,0.7010318460218559,0.8595876288659793,0.8095238095238096,0.7009361076547164,0.8595876288659793,0.8093434343434344,0.7009012532530466,0.8595876288659793,0.8093434343434344,0.7008684011255153,0.8595876288659793,0.8093434343434344,0.7008277623763346
MC_dropout_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.7115463917525773,0.6951659451659451,0.5936895586668918,0.7115463917525773,0.6946248196248196,0.5930655165604015,0.8628865979381444,0.8142135642135643,0.7025195357067401,0.8628865979381444,0.8142135642135642,0.7024381840500771,0.8628865979381444,0.8142135642135642,0.7024242422894091
MC_dropout_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7688659793814433,0.7451298701298701,0.7016584836688959,0.6842268041237114,0.7023809523809523,0.557069670315181,0.8587628865979381,0.8113275613275612,0.7080813341553038,0.8587628865979381,0.8113275613275612,0.7080780711900412,0.8587628865979381,0.8113275613275612,0.7080656867537033
MC_dropout_quicknat_diabetes_status_with_spleen_seg_and_iou,diabetes_status_with_spleen_seg_and_iou,0,0.6313402061855671,0.520021645021645,0.5680001589953982,0.8509278350515463,0.7431457431457431,0.7115431178241183,0.8509278350515463,0.7427849927849928,0.7113458567423282,0.8509278350515463,0.7427849927849928,0.711315303522141,0.8509278350515463,0.7427849927849928,0.711303586510516
MC_dropout_quicknat_diabetes_status_with_spleen_seg_dot_iou,diabetes_status_with_spleen_seg_dot_iou,0,0.6288659793814433,0.47997835497835495,0.5632559558200436,0.628659793814433,0.48033910533910534,0.56281493640147,0.8521649484536082,0.7195165945165944,0.7125730283143068,0.8521649484536082,0.7193362193362194,0.7125281625419448,0.8521649484536082,0.7193362193362194,0.7125010206036233
MC_dropout_quicknat_diabetes_status_with_spleen_seg_volumes,diabetes_status_with_spleen_seg_volumes,0,0.8430927835051546,0.7456709956709957,0.726524132928162,0.8430927835051546,0.7453102453102454,0.726505593352806,0.8428865979381444,0.7454906204906204,0.7264890560515881,0.8428865979381444,0.7456709956709957,0.7264861638778326,0.8428865979381444,0.7456709956709957,0.7264849031867082
et_KORA_processed_diabetes_status,diabetes_status,0,0.6274226804123711,,,0.8463917525773196,,,0.8463917525773196,,,0.8463917525773196,,,0.8463917525773196,,
et_KORA_processed_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7068041237113403,,,0.8587628865979381,,,0.8587628865979381,,,0.8587628865979381,,,0.8587628865979381,,
et_KORA_processed_diabetes_status_with_spleen_seg_volumes,diabetes_status_with_spleen_seg_volumes,0,0.3639175257731959,,,0.3639175257731959,,,0.8418556701030928,,,0.8418556701030928,,,0.8418556701030928,,
full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.6274226804123711,0.5867604617604618,0.5937165751679803,0.8463917525773196,0.7873376623376623,0.7341526547777186,0.8463917525773196,0.7873376623376623,0.7341531531908708,0.8463917525773196,0.7873376623376623,0.7341540503345448,0.8463917525773196,0.7873376623376623,0.7341534522387622
full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8400000000000001,0.7860750360750361,0.718106392866392,0.845360824742268,0.8006854256854257,0.6938467307785473,0.8383505154639175,0.796897546897547,0.6670493482849305,0.8369072164948455,0.7967171717171717,0.6637393865411304,0.8362886597938144,0.7967171717171717,0.6610645028358713
full_bayesian_0dot01_diabetes_status_spleen_seg_reg_iou,diabetes_status_spleen_seg_reg_iou,0,0.8350515463917525,0.773989898989899,0.7178227459414718,0.8317525773195875,0.770021645021645,0.7138606604293251,0.8276288659793813,0.7579365079365079,0.7125776951342316,0.828041237113402,0.753968253968254,0.7123691590713486,0.825979381443299,0.7518037518037518,0.7121731830199012
full_bayesian_0dot01_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.6839175257731959,0.6985930735930735,0.5071751557391576,0.8589690721649484,0.8113275613275613,0.6931977968543751,0.8589690721649484,0.8113275613275613,0.6930797726199327,0.8589690721649484,0.8113275613275613,0.6930846570688243,0.8589690721649484,0.8113275613275613,0.6930438868729738
full_bayesian_0dot01_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8630927835051545,0.8088023088023087,0.6954656763795428,0.8630927835051545,0.8086219336219336,0.6949981648427735,0.8630927835051546,0.8084415584415584,0.6946131905240096,0.863298969072165,0.8084415584415584,0.694561754286702,0.8635051546391753,0.8086219336219337,0.6945388272817005
full_bayesian_0dot01_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.6816494845360824,0.6794733044733045,0.5812175196609036,0.655876288659794,0.6944444444444444,0.5045833575063712,0.8542268041237113,0.8131313131313131,0.7142088020161411,0.8542268041237113,0.8131313131313131,0.7142021232799014,0.8542268041237113,0.8131313131313131,0.7141944477173575
full_bayesian_0dot01_diabetes_status_with_spleen_seg_and_iou,diabetes_status_with_spleen_seg_and_iou,0,0.5956701030927836,0.5138888888888888,0.5903715251382649,0.8439175257731959,0.7803030303030304,0.7282874783265041,0.8439175257731959,0.7801226551226551,0.7282342478018483,0.8439175257731959,0.7801226551226551,0.7282295627182177,0.8439175257731959,0.7801226551226551,0.7282239804909131
full_bayesian_0dot01_diabetes_status_with_spleen_seg_dot_iou,diabetes_status_with_spleen_seg_dot_iou,0,0.6218556701030928,0.6978715728715728,0.5935381931008057,0.8449484536082474,0.7988816738816739,0.7339242320300626,0.8447422680412371,0.7988816738816739,0.7339065882044746,0.8447422680412371,0.7988816738816739,0.7339038967734527,0.8447422680412371,0.7988816738816739,0.7339036974081917
full_bayesian_0dot01_diabetes_status_with_spleen_seg_volumes,diabetes_status_with_spleen_seg_volumes,0,0.5954639175257732,0.5138888888888888,0.5903715251382649,0.788659793814433,0.7516233766233766,0.7182770495297074,0.8476288659793815,0.777958152958153,0.7344097861229418,0.8476288659793815,0.777958152958153,0.7344111816797679,0.8476288659793815,0.777958152958153,0.7344101848534635
