,,,train_0.5,val_0.5,test_0.5,train_0.1,val_0.1,test_0.1
MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.8461855670103093,0.7871572871572872,0.7375348804832725,0.8470103092783505,0.7871572871572872,0.7372126332419329
MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.31237113402061856,0.33125901875901875,0.4055494394910627,0.39340206185567006,0.3977272727272727,0.48726752649706123
MC_dropout_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8645360824742268,0.8003246753246752,0.7244836023897293,0.7878350515463918,0.7133838383838383,0.6134538034102671
MC_dropout_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8575257731958762,0.7968975468975469,0.7301791086334114,0.78,0.6996753246753247,0.6289775100328678
MC_dropout_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7760824742268042,0.7436868686868687,0.7185504397513423,0.8589690721649484,0.7485569985569985,0.6424271519971914
et_KORA_processed_diabetes_status,diabetes_status,0,0.8461855670103093,,,0.8470103092783505,,
et_KORA_processed_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8606185567010309,,,0.7709278350515464,,
full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.8461855670103093,0.7871572871572872,,0.8470103092783505,0.7871572871572872,
full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.31237113402061856,0.33125901875901875,,0.3595876288659794,0.37662337662337664,
full_bayesian_0dot01_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8641237113402063,0.8183621933621933,,0.8680412371134021,0.8111471861471862,
full_bayesian_0dot01_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8517525773195875,0.8089826839826839,,0.7925773195876289,0.7620851370851373,
full_bayesian_0dot01_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8517525773195875,0.8089826839826839,,0.8501030927835052,0.790945165945166,
hierarchical_quicknat_diabetes_status,diabetes_status,0,0.8461855670103093,0.7871572871572872,0.7375348804832725,0.8470103092783505,0.7871572871572872,0.7372126332419329
hierarchical_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.31237113402061856,0.33125901875901875,0.4055494394910627,0.41855670103092785,0.41684704184704185,0.5089190757655547
hierarchical_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.7065979381443299,0.689033189033189,0.5685567197515844,0.8622680412371134,0.7999639249639249,0.6904941225250746
hierarchical_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.6987628865979381,0.6848845598845599,0.577338808282942,0.7373195876288661,0.6951659451659452,0.5772759326178672
hierarchical_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8564948453608247,0.810064935064935,0.7168468951073502,0.86,0.8003246753246753,0.6894499022438516
probabilistic_quicknat_diabetes_status,diabetes_status,0,0.8461855670103093,0.7871572871572872,0.7375348804832725,0.8470103092783505,0.7871572871572872,0.7372126332419329
probabilistic_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.31237113402061856,0.33125901875901875,0.4055494394910627,0.42206185567010307,0.4177489177489178,0.5107072112561817
probabilistic_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8560824742268042,0.8113275613275613,0.72060710199931,0.8515463917525774,0.7835497835497836,0.610453779198218
probabilistic_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8554639175257731,0.8093434343434344,0.718429076855097,0.8604123711340206,0.7992424242424242,0.6781561919289135
probabilistic_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8554639175257731,0.8093434343434344,0.7184271852887589,0.7550515463917526,0.7007575757575758,0.571890037952387
