Base,Variable_IoU,Variable_CVInv,Instance_IoU,Instance_CVInv,Interaction_IoU,Interaction_CVInv,Manual
0.684210526,0.710526316,0.697368421,0.684210526,0.671052632,0.684210526,0.723684211,0.736842105
0.671052632,0.684210526,0.671052632,0.671052632,0.710526316,0.684210526,0.684210526,0.697368421
0.723684211,0.75,0.723684211,0.723684211,0.723684211,0.776315789,0.684210526,0.75
0.631578947,0.684210526,0.631578947,0.631578947,0.657894737,0.736842105,0.671052632,0.657894737
0.723684211,0.75,0.723684211,0.723684211,0.710526316,0.763157895,0.723684211,0.763157895
0.723684211,0.723684211,0.723684211,0.723684211,0.723684211,0.776315789,0.723684211,0.75
0.684210526,0.710526316,0.710526316,0.684210526,0.684210526,0.723684211,0.710526316,0.697368421
0.697368421,0.671052632,0.710526316,0.697368421,0.657894737,0.657894737,0.697368421,0.723684211
0.697368421,0.710526316,0.684210526,0.697368421,0.684210526,0.75,0.684210526,0.697368421
0.723684211,0.75,0.736842105,0.723684211,0.684210526,0.75,0.736842105,0.723684211
0.697368421,0.75,0.697368421,0.697368421,0.710526316,0.710526316,0.697368421,0.736842105
0.657894737,0.684210526,0.697368421,0.657894737,0.657894737,0.710526316,0.697368421,0.657894737
0.657894737,0.657894737,0.657894737,0.657894737,0.644736842,0.697368421,0.644736842,0.684210526
0.710526316,0.75,0.671052632,0.710526316,0.697368421,0.789473684,0.697368421,0.736842105
0.697368421,0.75,0.710526316,0.697368421,0.736842105,0.710526316,0.75,0.736842105
0.697368421,0.75,0.736842105,0.697368421,0.697368421,0.723684211,0.723684211,0.710526316
0.736842105,0.789473684,0.789473684,0.736842105,0.710526316,0.789473684,0.789473684,0.776315789
0.723684211,0.75,0.723684211,0.723684211,0.710526316,0.723684211,0.736842105,0.710526316
0.578947368,0.631578947,0.578947368,0.578947368,0.578947368,0.644736842,0.578947368,0.592105263
0.671052632,0.684210526,0.684210526,0.671052632,0.684210526,0.723684211,0.684210526,0.684210526
0.723684211,0.723684211,0.723684211,0.736842105,0.684210526,0.723684211,0.697368421,0.75
0.578947368,0.618421053,0.605263158,0.578947368,0.605263158,0.671052632,0.605263158,0.605263158
0.657894737,0.697368421,0.644736842,0.657894737,0.644736842,0.684210526,0.644736842,0.697368421
0.710526316,0.710526316,0.710526316,0.710526316,0.723684211,0.736842105,0.710526316,0.75
0.723684211,0.763157895,0.736842105,0.723684211,0.697368421,0.75,0.736842105,0.710526316
0.671052632,0.644736842,0.710526316,0.671052632,0.671052632,0.631578947,0.697368421,0.697368421
0.763157895,0.789473684,0.763157895,0.763157895,0.75,0.776315789,0.710526316,0.776315789
0.684210526,0.723684211,0.657894737,0.684210526,0.684210526,0.697368421,0.644736842,0.710526316
0.723684211,0.671052632,0.644736842,0.723684211,0.723684211,0.644736842,0.644736842,0.736842105
0.697368421,0.736842105,0.697368421,0.697368421,0.697368421,0.710526316,0.671052632,0.736842105
0.736842105,0.776315789,0.75,0.736842105,0.75,0.815789474,0.75,0.763157895
0.684210526,0.723684211,0.671052632,0.684210526,0.671052632,0.763157895,0.684210526,0.723684211
0.631578947,0.723684211,0.671052632,0.631578947,0.671052632,0.736842105,0.684210526,0.697368421
0.697368421,0.710526316,0.657894737,0.697368421,0.710526316,0.723684211,0.657894737,0.710526316
0.697368421,0.736842105,0.710526316,0.697368421,0.710526316,0.75,0.710526316,0.736842105
0.618421053,0.697368421,0.657894737,0.618421053,0.671052632,0.684210526,0.671052632,0.618421053
0.710526316,0.75,0.710526316,0.710526316,0.697368421,0.75,0.697368421,0.736842105
0.697368421,0.723684211,0.697368421,0.697368421,0.697368421,0.776315789,0.710526316,0.736842105
0.710526316,0.736842105,0.710526316,0.710526316,0.697368421,0.763157895,0.684210526,0.736842105
0.736842105,0.684210526,0.723684211,0.736842105,0.684210526,0.697368421,0.710526316,0.710526316
0.736842105,0.710526316,0.684210526,0.736842105,0.736842105,0.763157895,0.736842105,0.736842105
0.723684211,0.736842105,0.75,0.723684211,0.671052632,0.736842105,0.723684211,0.75
0.684210526,0.723684211,0.671052632,0.684210526,0.657894737,0.736842105,0.657894737,0.684210526
0.684210526,0.723684211,0.697368421,0.684210526,0.697368421,0.723684211,0.710526316,0.710526316
0.657894737,0.671052632,0.631578947,0.657894737,0.657894737,0.671052632,0.671052632,0.644736842
0.657894737,0.684210526,0.671052632,0.657894737,0.671052632,0.723684211,0.671052632,0.697368421
0.776315789,0.789473684,0.776315789,0.776315789,0.736842105,0.723684211,0.75,0.776315789
0.657894737,0.684210526,0.671052632,0.657894737,0.684210526,0.671052632,0.671052632,0.657894737
0.671052632,0.671052632,0.671052632,0.671052632,0.657894737,0.697368421,0.671052632,0.710526316
0.736842105,0.776315789,0.75,0.736842105,0.723684211,0.763157895,0.75,0.776315789
0.671052632,0.723684211,0.697368421,0.671052632,0.697368421,0.763157895,0.723684211,0.710526316
0.684210526,0.710526316,0.671052632,0.684210526,0.671052632,0.710526316,0.618421053,0.710526316
0.684210526,0.736842105,0.723684211,0.684210526,0.684210526,0.776315789,0.710526316,0.75
0.710526316,0.75,0.736842105,0.710526316,0.736842105,0.75,0.710526316,0.736842105
0.657894737,0.684210526,0.684210526,0.657894737,0.684210526,0.723684211,0.671052632,0.671052632
0.657894737,0.723684211,0.657894737,0.657894737,0.657894737,0.776315789,0.697368421,0.684210526
0.697368421,0.723684211,0.723684211,0.697368421,0.697368421,0.763157895,0.697368421,0.723684211
0.697368421,0.736842105,0.697368421,0.684210526,0.710526316,0.723684211,0.697368421,0.697368421
0.710526316,0.75,0.723684211,0.710526316,0.723684211,0.75,0.697368421,0.736842105
0.618421053,0.671052632,0.644736842,0.618421053,0.618421053,0.697368421,0.644736842,0.644736842
0.684210526,0.710526316,0.657894737,0.684210526,0.671052632,0.763157895,0.684210526,0.723684211
0.684210526,0.710526316,0.684210526,0.684210526,0.684210526,0.75,0.684210526,0.684210526
0.618421053,0.578947368,0.618421053,0.605263158,0.592105263,0.671052632,0.592105263,0.592105263
0.697368421,0.736842105,0.723684211,0.697368421,0.697368421,0.75,0.723684211,0.684210526
0.710526316,0.710526316,0.631578947,0.710526316,0.723684211,0.684210526,0.631578947,0.684210526
0.684210526,0.684210526,0.671052632,0.684210526,0.657894737,0.710526316,0.644736842,0.671052632
0.736842105,0.789473684,0.763157895,0.736842105,0.736842105,0.75,0.75,0.776315789
0.657894737,0.684210526,0.657894737,0.657894737,0.671052632,0.710526316,0.644736842,0.684210526
0.723684211,0.736842105,0.697368421,0.723684211,0.697368421,0.763157895,0.710526316,0.723684211
0.697368421,0.710526316,0.697368421,0.697368421,0.697368421,0.736842105,0.710526316,0.710526316
0.697368421,0.684210526,0.684210526,0.697368421,0.736842105,0.684210526,0.684210526,0.710526316
0.723684211,0.75,0.736842105,0.723684211,0.723684211,0.736842105,0.75,0.75
0.710526316,0.75,0.697368421,0.710526316,0.710526316,0.776315789,0.723684211,0.776315789
0.631578947,0.723684211,0.710526316,0.644736842,0.697368421,0.736842105,0.710526316,0.697368421
0.710526316,0.736842105,0.697368421,0.710526316,0.723684211,0.736842105,0.697368421,0.723684211
0.592105263,0.671052632,0.631578947,0.592105263,0.671052632,0.684210526,0.618421053,0.618421053
0.657894737,0.697368421,0.657894737,0.657894737,0.671052632,0.723684211,0.684210526,0.723684211
0.657894737,0.723684211,0.657894737,0.657894737,0.671052632,0.736842105,0.657894737,0.671052632
0.684210526,0.723684211,0.710526316,0.684210526,0.710526316,0.736842105,0.723684211,0.723684211
0.723684211,0.763157895,0.723684211,0.723684211,0.723684211,0.776315789,0.723684211,0.75
0.657894737,0.723684211,0.657894737,0.657894737,0.657894737,0.723684211,0.657894737,0.657894737
0.723684211,0.723684211,0.75,0.723684211,0.684210526,0.75,0.710526316,0.75
0.697368421,0.763157895,0.723684211,0.697368421,0.723684211,0.75,0.697368421,0.723684211
0.75,0.789473684,0.776315789,0.75,0.736842105,0.789473684,0.763157895,0.776315789
0.697368421,0.684210526,0.631578947,0.697368421,0.736842105,0.697368421,0.657894737,0.697368421
0.671052632,0.684210526,0.671052632,0.671052632,0.684210526,0.684210526,0.657894737,0.671052632
0.644736842,0.684210526,0.684210526,0.644736842,0.697368421,0.710526316,0.684210526,0.684210526
0.736842105,0.763157895,0.723684211,0.736842105,0.736842105,0.776315789,0.736842105,0.763157895
0.684210526,0.671052632,0.657894737,0.684210526,0.723684211,0.644736842,0.644736842,0.723684211
0.684210526,0.723684211,0.697368421,0.684210526,0.684210526,0.723684211,0.710526316,0.723684211
0.710526316,0.723684211,0.736842105,0.710526316,0.710526316,0.763157895,0.723684211,0.684210526
0.710526316,0.736842105,0.710526316,0.710526316,0.710526316,0.723684211,0.697368421,0.736842105
0.671052632,0.684210526,0.671052632,0.671052632,0.697368421,0.697368421,0.671052632,0.684210526
0.684210526,0.710526316,0.697368421,0.684210526,0.697368421,0.723684211,0.697368421,0.697368421
