"","V1","V2","V3","V4","V5"
"1",0,0,0,0,0
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",1,1,1,1,1
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",0,0,0,0,0
"14",0,0,0,0,0
"15",1,1,1,1,1
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",1,1,1,1,1
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",0,0,0,0,0
"27",1,1,1,1,1
"28",1,1,1,1,1
"29",1,1,1,1,1
"30",1,1,1,1,1
"31",0,0,0,0,0
"32",0,0,0,0,0
"33",0,0,0,0,0
"34",0,0,0,0,0
"35",1,1,1,1,1
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",1,1,1,1,1
"39",1,1,1,1,1
"40",1,1,1,1,1
"41",1,1,1,1,1
"42",1,1,1,1,1
"43",1,1,1,1,1
"44",1,1,1,1,1
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",1,1,1,1,1
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",0,0,0,0,0
"52",1,1,1,1,1
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"57",1,1,1,1,1
"58",0,0,0,0,0
"59",1,1,1,1,1
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",1,1,1,1,1
"64",1,1,1,1,1
"65",0,0,0,0,0
"66",1,1,1,1,1
"67",0,0,0,0,0
"68",1,1,1,1,1
"69",0,0,0,0,0
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",1,1,1,1,1
"73",0,0,0,0,0
"74",0,0,0,0,0
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",1,1,1,1,1
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",0,0,0,0,0
"84",0,0,0,0,0
"85",1,1,1,1,1
"86",0,0,0,0,0
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",0,0,0,0,0
"90",1,1,1,1,1
"91",0,0,0,0,0
"92",0,0,0,0,0
"93",0,0,0,0,0
"94",0,0,0,0,0
"95",0,0,0,0,0
"96",1,1,1,1,1
"97",0,0,0,0,0
"98",0,0,0,0,0
"99",0,0,0,0,0
"100",0,0,0,0,0
"101",0,0,0,0,0
"102",1,1,1,1,1
"103",1,1,1,1,1
"104",1,1,1,1,1
"105",0,0,0,0,0
"106",0,0,0,0,0
"107",0,0,0,0,0
"108",0,0,0,0,0
"109",0,0,0,0,0
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0,0,0,0,0
"114",0,0,0,0,0
"115",1,1,1,1,1
"116",1,1,1,1,1
"117",1,1,1,1,1
"118",1,1,1,1,1
"119",0,0,0,0,0
"120",0,0,0,0,0
"121",1,1,1,1,1
"122",0,0,0,0,0
"123",0,0,0,0,0
"124",0,0,0,0,0
"125",0,0,0,0,0
"126",1,1,1,1,1
"127",0,0,0,0,0
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",0,0,0,0,0
"131",0,0,0,0,0
"132",0,0,0,0,0
"133",0,0,0,0,0
"134",0,0,0,0,0
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",0,0,0,0,0
"138",0,0,0,0,0
"139",1,1,1,1,1
"140",1,1,1,1,1
"141",1,1,1,1,1
"142",0,0,0,0,0
"143",0,0,0,0,0
"144",0,0,0,0,0
"145",0,0,0,0,0
"146",1,1,1,1,1
"147",0,0,0,0,0
"148",0,0,0,0,0
"149",1,1,1,1,1
"150",1,1,1,1,1
"151",0,0,0,0,0
"152",0,0,0,0,0
"153",0,0,0,0,0
"154",0,0,0,0,0
"155",0,0,0,0,0
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",1,1,1,1,1
"159",1,1,1,1,1
"160",1,1,1,1,1
"161",1,1,1,1,1
"162",0,0,0,0,0
"163",1,1,1,1,1
"164",0,0,0,0,0
"165",0,0,0,0,0
"166",0,0,0,0,0
"167",1,1,1,1,1
"168",1,1,1,1,1
"169",0,0,0,0,0
"170",0,0,0,0,0
"171",1,1,1,1,1
"172",1,1,1,1,1
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",0,0,0,0,0
"176",1,1,1,1,1
"177",1,1,1,1,1
"178",0,0,0,0,0
"179",0,0,0,0,0
"180",1,1,1,1,1
"181",0,0,0,0,0
"182",0,0,0,0,0
"183",0,0,0,0,0
"184",1,1,1,1,1
"185",0,0,0,0,0
"186",0,0,0,0,0
"187",0,0,0,0,0
"188",0,0,0,0,0
"189",1,1,1,1,1
"190",1,1,1,1,1
"191",0,0,0,0,0
"192",1,1,1,1,1
"193",0,0,0,0,0
"194",0,0,0,0,0
"195",1,1,1,1,1
"196",0,0,0,0,0
"197",0,0,0,0,0
"198",1,1,1,1,1
"199",0,0,0,0,0
"200",0,0,0,0,0
"201",0,0,0,0,0
"202",1,1,1,1,1
"203",0,0,0,0,0
"204",1,1,1,1,1
"205",0,0,0,0,0
"206",0,0,0,0,0
"207",0,0,0,0,0
"208",0,0,0,0,0
"209",0,0,0,0,0
"210",0,0,0,0,0
"211",1,1,1,1,1
"212",0,0,0,0,0
"213",1,1,1,1,1
"214",1,1,1,1,1
"215",1,1,1,1,1
"216",0,0,0,0,0
"217",0,0,0,0,0
"218",0,0,0,0,0
"219",0,0,0,0,0
"220",0,0,0,0,0
"221",0,0,0,0,0
"222",1,1,1,1,1
"223",1,1,1,1,1
"224",0,0,0,0,0
"225",1,1,1,1,1
"226",0,0,0,0,0
"227",0,0,0,0,0
"228",1,1,1,1,1
"229",1,1,1,1,1
"230",0,0,0,0,0
"231",1,1,1,1,1
"232",0,0,0,0,0
"233",0,0,0,0,0
"234",0,0,0,0,0
"235",1,1,1,1,1
"236",0,0,0,0,0
"237",0,0,0,0,0
"238",1,1,1,1,1
"239",0,0,0,0,0
"240",0,0,0,0,0
"241",1,1,1,1,1
"242",0,0,0,0,0
"243",1,1,1,1,1
"244",0,0,0,0,0
"245",0,0,0,0,0
"246",0,0,0,0,0
"247",1,1,1,1,1
"248",1,1,1,1,1
"249",0,0,0,0,0
"250",0,0,0,0,0
"251",1,1,1,1,1
"252",0,0,0,0,0
"253",0,0,0,0,0
"254",0,0,0,0,0
"255",0,0,0,0,0
"256",0,0,0,0,0
"257",0,0,0,0,0
"258",0,0,0,0,0
"259",0,0,0,0,0
"260",0,0,0,0,0
"261",0,0,0,0,0
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",0,0,0,0,0
"265",0,0,0,0,0
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",0,0,0,0,0
"269",1,1,1,1,1
"270",1,1,1,1,1
"271",1,1,1,1,1
"272",1,1,1,1,1
"273",0,0,0,0,0
"274",1,1,1,1,1
"275",0,0,0,0,0
"276",1,1,1,1,1
"277",1,1,1,1,1
"278",0,0,0,0,0
"279",1,1,1,1,1
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",0,0,0,0,0
"283",0,0,0,0,0
"284",0,0,0,0,0
"285",0,0,0,0,0
"286",0,0,0,0,0
"287",0,0,0,0,0
"288",1,1,1,1,1
"289",0,0,0,0,0
"290",1,1,1,1,1
"291",1,1,1,1,1
"292",0,0,0,0,0
"293",0,0,0,0,0
"294",0,0,0,0,0
"295",0,0,0,0,0
"296",0,0,0,0,0
"297",0,0,0,0,0
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,0,0,0
"302",1,1,1,1,1
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",1,1,1,1,1
"306",0,0,0,0,0
"307",0,0,0,0,0
"308",0,0,0,0,0
"309",0,0,0,0,0
"310",0,0,0,0,0
"311",0,0,0,0,0
"312",0,0,0,0,0
"313",0,0,0,0,0
"314",1,1,1,1,1
"315",0,0,0,0,0
"316",0,0,0,0,0
"317",1,1,1,1,1
"318",1,1,1,1,1
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",1,1,1,1,1
"322",0,0,0,0,0
"323",0,0,0,0,0
"324",1,1,1,1,1
"325",0,0,0,0,0
"326",1,1,1,1,1
"327",0,0,0,0,0
"328",0,0,0,0,0
"329",0,0,0,0,0
"330",0,0,0,0,0
"331",1,1,1,1,1
"332",1,1,1,1,1
"333",0,0,0,0,0
"334",1,1,1,1,1
"335",0,0,0,0,0
"336",0,0,0,0,0
"337",1,1,1,1,1
"338",1,1,1,1,1
"339",0,0,0,0,0
"340",0,0,0,0,0
"341",0,0,0,0,0
"342",0,0,0,0,0
"343",1,1,1,1,1
"344",1,1,1,1,1
"345",1,1,1,1,1
"346",0,0,0,0,0
"347",1,1,1,1,1
"348",0,0,0,0,0
"349",1,1,1,1,1
"350",1,1,1,1,1
"351",0,0,0,0,0
"352",0,0,0,0,0
"353",0,0,0,0,0
"354",0,0,0,0,0
"355",1,1,1,1,1
"356",0,0,0,0,0
"357",0,0,0,0,0
"358",0,0,0,0,0
"359",0,0,0,0,0
"360",0,0,0,0,0
"361",0,0,0,0,0
"362",0,0,0,0,0
"363",1,1,1,1,1
"364",1,1,1,1,1
"365",0,0,0,0,0
"366",0,0,0,0,0
"367",0,0,0,0,0
"368",0,0,0,0,0
"369",0,0,0,0,0
"370",1,1,1,1,1
"371",0,0,0,0,0
"372",0,0,0,0,0
"373",0,0,0,0,0
"374",1,1,1,1,1
"375",1,1,1,1,1
"376",1,1,1,1,1
"377",0,0,0,0,0
"378",0,0,0,0,0
"379",1,1,1,1,1
"380",0,0,0,0,0
"381",1,1,1,1,1
"382",0,0,0,0,0
"383",0,0,0,0,0
"384",0,0,0,0,0
"385",0,0,0,0,0
"386",0,0,0,0,0
"387",1,1,1,1,1
"388",0,0,0,0,0
"389",0,0,0,0,0
"390",1,1,1,1,1
"391",1,1,1,1,1
"392",0,0,0,0,0
"393",0,0,0,0,0
"394",1,1,1,1,1
"395",1,1,1,1,1
"396",0,0,0,0,0
"397",0,0,0,0,0
"398",0,0,0,0,0
"399",0,0,0,0,0
"400",0,0,0,0,0
"401",0,0,0,0,0
"402",0,0,0,0,0
"403",0,0,0,0,0
"404",0,0,0,0,0
"405",1,1,1,1,1
"406",0,0,0,0,0
"407",0,0,0,0,0
"408",0,0,0,0,0
"409",1,1,1,1,1
"410",1,1,1,1,1
"411",0,0,0,0,0
"412",0,0,0,0,0
"413",0,0,0,0,0
"414",1,1,1,1,1
"415",0,0,0,0,0
"416",0,0,0,0,0
"417",0,0,0,0,0
"418",0,0,0,0,0
"419",0,0,0,0,0
"420",1,1,1,1,1
"421",1,1,1,1,1
"422",1,1,1,1,1
"423",0,0,0,0,0
"424",0,0,0,0,0
"425",0,0,0,0,0
"426",1,1,1,1,1
"427",0,0,0,0,0
"428",0,0,0,0,0
"429",0,0,0,0,0
"430",1,1,1,1,1
"431",0,0,0,0,0
"432",0,0,0,0,0
"433",0,0,0,0,0
"434",0,0,0,0,0
"435",0,0,0,0,0
"436",1,1,1,1,1
"437",0,0,0,0,0
"438",0,0,0,0,0
"439",1,1,1,1,1
"440",0,0,0,0,0
"441",0,0,0,0,0
"442",1,1,1,1,1
"443",0,0,0,0,0
"444",0,0,0,0,0
"445",0,0,0,0,0
"446",1,1,1,1,1
"447",0,0,0,0,0
"448",1,1,1,1,1
"449",0,0,0,0,0
"450",0,0,0,0,0
"451",1,1,1,1,1
"452",1,1,1,1,1
"453",0,0,0,0,0
"454",1,1,1,1,1
"455",0,0,0,0,0
"456",0,0,0,0,0
"457",0,0,0,0,0
"458",0,0,0,0,0
"459",0,0,0,0,0
"460",0,0,0,0,0
"461",0,0,0,0,0
"462",1,1,1,1,1
"463",0,0,0,0,0
"464",0,0,0,0,0
"465",0,0,0,0,0
"466",1,1,1,1,1
"467",0,0,0,0,0
"468",0,0,0,0,0
"469",0,0,0,0,0
"470",0,0,0,0,0
"471",0,0,0,0,0
"472",0,0,0,0,0
"473",1,1,1,1,1
"474",0,0,0,0,0
"475",1,1,1,1,1
"476",0,0,0,0,0
"477",1,1,1,1,1
"478",0,0,0,0,0
"479",0,0,0,0,0
"480",0,0,0,0,0
"481",1,1,1,1,1
"482",1,1,1,1,1
"483",0,0,0,0,0
"484",1,1,1,1,1
"485",1,1,1,1,1
"486",0,0,0,0,0
"487",0,0,0,0,0
"488",0,0,0,0,0
"489",1,1,1,1,1
"490",1,1,1,1,1
"491",0,0,0,0,0
"492",0,0,0,0,0
"493",0,0,0,0,0
"494",0,0,0,0,0
"495",0,0,0,0,0
"496",1,1,1,1,1
"497",1,1,1,1,1
"498",1,1,1,1,1
"499",1,1,1,1,1
"500",0,0,0,0,0
"501",0,0,0,0,0
"502",0,0,0,0,0
"503",0,0,0,0,0
"504",0,0,0,0,0
"505",0,0,0,0,0
"506",1,1,1,1,1
"507",0,0,0,0,0
"508",0,0,0,0,0
"509",0,0,0,0,0
"510",1,1,1,1,1
"511",0,0,0,0,0
"512",0,0,0,0,0
"513",1,1,1,1,1
"514",0,0,0,0,0
"515",0,0,0,0,0
"516",0,0,0,0,0
"517",0,0,0,0,0
"518",0,0,0,0,0
"519",0,0,0,0,0
"520",0,0,0,0,0
"521",0,0,0,0,0
"522",0,0,0,0,0
"523",0,0,0,0,0
"524",0,0,0,0,0
"525",0,0,0,0,0
"526",0,0,0,0,0
"527",1,1,1,1,1
"528",1,1,1,1,1
"529",0,0,0,0,0
"530",1,1,1,1,1
"531",0,0,0,0,0
"532",0,0,0,0,0
"533",0,0,0,0,0
"534",0,0,0,0,0
"535",0,0,0,0,0
"536",1,1,1,1,1
"537",0,0,0,0,0
"538",0,0,0,0,0
"539",1,1,1,1,1
"540",0,0,0,0,0
"541",1,1,1,1,1
"542",0,0,0,0,0
"543",1,1,1,1,1
"544",0,0,0,0,0
"545",1,1,1,1,1
"546",0,0,0,0,0
"547",0,0,0,0,0
"548",0,0,0,0,0
"549",0,0,0,0,0
"550",0,0,0,0,0
"551",1,1,1,1,1
"552",0,0,0,0,0
"553",0,0,0,0,0
"554",1,1,1,1,1
"555",1,1,1,1,1
"556",0,0,0,0,0
"557",0,0,0,0,0
"558",0,0,0,0,0
"559",1,1,1,1,1
"560",0,0,0,0,0
"561",0,0,0,0,0
"562",0,0,0,0,0
