"","x"
"47",TRUE
"157",FALSE
"78",FALSE
"289",FALSE
"34",FALSE
"83",FALSE
"290",FALSE
"300",FALSE
"54",TRUE
"188",FALSE
"119",FALSE
"167",TRUE
"134",FALSE
"124",FALSE
"299",FALSE
"5",FALSE
"204",TRUE
"2",FALSE
"148",FALSE
"246",FALSE
"252",FALSE
"295",FALSE
"214",FALSE
"155",FALSE
"251",FALSE
"99",FALSE
"206",FALSE
"22",FALSE
"248",FALSE
"302",FALSE
"163",TRUE
"79",TRUE
"191",FALSE
"239",TRUE
"128",FALSE
"110",FALSE
"165",TRUE
"51",FALSE
"116",FALSE
"256",TRUE
"293",FALSE
"73",FALSE
"93",FALSE
"285",TRUE
"284",FALSE
"263",FALSE
"9",TRUE
"76",FALSE
"52",FALSE
"60",FALSE
"105",FALSE
"24",FALSE
"92",FALSE
"236",FALSE
"291",FALSE
"40",FALSE
"190",FALSE
"207",FALSE
"166",FALSE
"306",FALSE
"266",FALSE
"262",FALSE
"147",FALSE
"264",FALSE
"26",FALSE
"85",FALSE
"304",FALSE
"288",FALSE
"181",FALSE
"198",FALSE
"249",TRUE
"29",FALSE
"243",TRUE
"259",FALSE
"170",TRUE
"74",FALSE
