,0,1,2,3,4,5,6,7,8,9
KORA2452967,"(1402260, 18914, 127114)","(1402072, 18951, 127265)","(1402278, 19013, 126997)","(1402128, 18954, 127206)","(1402348, 19074, 126866)","(1401952, 18874, 127462)","(1402273, 19165, 126850)","(1401965, 19080, 127243)","(1401738, 18986, 127564)","(1402246, 18842, 127200)"
KORA2459526,"(1940793, 14894, 182425)","(1942119, 14769, 181224)","(1943384, 13926, 180802)","(1941507, 15117, 181488)","(1939688, 16579, 181845)","(1942430, 15246, 180436)","(1941408, 14685, 182019)","(1940839, 16599, 180674)","(1943326, 13848, 180938)","(1942387, 14505, 181220)"
KORA2455268,"(1480406, 12060, 92686)","(1481634, 11889, 91629)","(1480877, 11724, 92551)","(1480847, 11650, 92655)","(1480639, 11706, 92807)","(1480999, 11644, 92509)","(1482279, 11787, 91086)","(1481067, 11801, 92284)","(1480936, 11793, 92423)","(1480718, 11829, 92605)"
KORA2454788,"(1628013, 6622, 134837)","(1628323, 6730, 134419)","(1628309, 6502, 134661)","(1628542, 6614, 134316)","(1628013, 6485, 134974)","(1627682, 6845, 134945)","(1628100, 6547, 134825)","(1628753, 6108, 134611)","(1627938, 6707, 134827)","(1627522, 7154, 134796)"
KORA2456202,"(1513923, 18212, 126745)","(1514422, 18232, 126226)","(1514485, 18088, 126307)","(1514349, 18185, 126346)","(1514358, 18050, 126472)","(1514024, 18199, 126657)","(1514571, 18228, 126081)","(1514204, 18186, 126490)","(1513610, 18435, 126835)","(1514230, 18248, 126402)"
KORA2459774,"(2039530, 13412, 158898)","(2038863, 14479, 158498)","(2040104, 13086, 158650)","(2042804, 11411, 157625)","(2040764, 12664, 158412)","(2042685, 10951, 158204)","(2039904, 13528, 158408)","(2039731, 13993, 158116)","(2041662, 11834, 158344)","(2039927, 13315, 158598)"
KORA2459983,"(1433202, 22010, 129940)","(1432911, 21985, 130256)","(1433131, 21864, 130157)","(1433451, 21937, 129764)","(1433148, 21832, 130172)","(1433448, 21933, 129771)","(1433503, 21760, 129889)","(1433137, 21987, 130028)","(1433076, 22016, 130060)","(1433444, 21780, 129928)"
KORA2459548,"(1521207, 9832, 127841)","(1521144, 8777, 128959)","(1520302, 10479, 128099)","(1521418, 9377, 128085)","(1521398, 9166, 128316)","(1521895, 8834, 128151)","(1520992, 9226, 128662)","(1521136, 9643, 128101)","(1522065, 8461, 128354)","(1522057, 9160, 127663)"
KORA2460309,"(1542120, 16656, 136968)","(1542636, 16713, 136395)","(1542929, 16530, 136285)","(1541977, 16597, 137170)","(1542968, 16678, 136098)","(1542286, 16667, 136791)","(1542674, 16780, 136290)","(1542145, 16625, 136974)","(1541423, 16671, 137650)","(1542335, 16580, 136829)"
KORA2461520,"(2149076, 16002, 157354)","(2148522, 16405, 157505)","(2148539, 16190, 157703)","(2148383, 15900, 158149)","(2149295, 14879, 158258)","(2148742, 16149, 157541)","(2147603, 16363, 158466)","(2148503, 16061, 157868)","(2148428, 16299, 157705)","(2148547, 15945, 157940)"
KORA2456379,"(1700277, 10342, 132581)","(1699948, 11122, 132130)","(1700778, 10299, 132123)","(1698921, 12378, 131901)","(1700274, 10498, 132428)","(1701474, 9654, 132072)","(1698336, 11217, 133647)","(1700425, 10301, 132474)","(1700036, 10190, 132974)","(1700507, 10470, 132223)"
KORA2462374,"(1461993, 20753, 139270)","(1462298, 20838, 138880)","(1462304, 20745, 138967)","(1462570, 20824, 138622)","(1462467, 20797, 138752)","(1462772, 20847, 138397)","(1462680, 20777, 138559)","(1462471, 20912, 138633)","(1462409, 20732, 138875)","(1462757, 20875, 138384)"
KORA2459763,"(1418154, 12131, 118003)","(1416886, 12165, 119237)","(1418181, 11976, 118131)","(1418127, 12141, 118020)","(1417942, 12165, 118181)","(1417569, 12177, 118542)","(1418058, 12043, 118187)","(1417271, 12003, 119014)","(1417526, 12120, 118642)","(1417944, 12004, 118340)"
KORA2460249,"(1438441, 19020, 127691)","(1437387, 19289, 128476)","(1437820, 19402, 127930)","(1437496, 19411, 128245)","(1437819, 19317, 128016)","(1437234, 19429, 128489)","(1437141, 19363, 128648)","(1437719, 19414, 128019)","(1437875, 19347, 127930)","(1437760, 19415, 127977)"
KORA2452364,"(1573073, 22228, 137307)","(1573435, 22167, 137006)","(1573021, 22128, 137459)","(1572764, 22351, 137493)","(1573472, 22134, 137002)","(1573065, 22104, 137439)","(1573360, 22286, 136962)","(1573453, 22045, 137110)","(1573523, 21944, 137141)","(1573336, 22073, 137199)"
KORA2452834,"(1727674, 20899, 131491)","(1729686, 20715, 129663)","(1727580, 20734, 131750)","(1728120, 20959, 130985)","(1728957, 20735, 130372)","(1728993, 20587, 130484)","(1728702, 20782, 130580)","(1729577, 20556, 129931)","(1728598, 20976, 130490)","(1728834, 20769, 130461)"
KORA2462150,"(1792111, 20189, 178356)","(1792320, 20120, 178216)","(1792902, 19830, 177924)","(1792622, 20142, 177892)","(1793115, 19916, 177625)","(1792530, 20103, 178023)","(1792100, 20078, 178478)","(1792875, 20038, 177743)","(1792773, 20132, 177751)","(1792514, 20161, 177981)"
KORA2456793,"(1774346, 17011, 162435)","(1774227, 17172, 162393)","(1773584, 17258, 162950)","(1774049, 17047, 162696)","(1774221, 17268, 162303)","(1774369, 17138, 162285)","(1774831, 17137, 161824)","(1775394, 17223, 161175)","(1774719, 17165, 161908)","(1774445, 17166, 162181)"
KORA2459908,"(1588241, 22425, 195670)","(1588014, 22391, 195931)","(1589716, 22702, 193918)","(1589058, 22994, 194284)","(1588892, 22853, 194591)","(1588814, 22758, 194764)","(1588826, 22730, 194780)","(1589680, 22849, 193807)","(1589079, 22955, 194302)","(1588931, 22832, 194573)"
KORA2453150,"(1762721, 22118, 132089)","(1763081, 21693, 132154)","(1763270, 21750, 131908)","(1762160, 21973, 132795)","(1763819, 21841, 131268)","(1762967, 22126, 131835)","(1763293, 21792, 131843)","(1762879, 21961, 132088)","(1763017, 21921, 131990)","(1763034, 21737, 132157)"
KORA2456199,"(1243592, 10921, 109455)","(1243245, 11312, 109411)","(1243669, 11225, 109074)","(1243859, 10796, 109313)","(1243623, 10833, 109512)","(1243918, 11032, 109018)","(1243034, 10867, 110067)","(1243326, 10857, 109785)","(1243737, 10646, 109585)","(1244292, 10706, 108970)"
KORA2453677,"(1800499, 26050, 127243)","(1800590, 25583, 127619)","(1801223, 25301, 127268)","(1801259, 25105, 127428)","(1801157, 25710, 126925)","(1800925, 25107, 127760)","(1801555, 24860, 127377)","(1800884, 25304, 127604)","(1800896, 25346, 127550)","(1800903, 25948, 126941)"
KORA2452913,"(1523219, 18094, 117567)","(1519898, 21031, 117951)","(1519892, 21112, 117876)","(1522763, 19430, 116687)","(1521683, 19425, 117772)","(1521083, 20542, 117255)","(1519618, 20962, 118300)","(1522416, 18704, 117760)","(1521689, 20235, 116956)","(1520680, 20803, 117397)"
KORA2460174,"(1930613, 8605, 162030)","(1930258, 8748, 162242)","(1930046, 8829, 162373)","(1930101, 9025, 162122)","(1929726, 9014, 162508)","(1930418, 8789, 162041)","(1930503, 8705, 162040)","(1930630, 8895, 161723)","(1930294, 8707, 162247)","(1929861, 8697, 162690)"
KORA2459807,"(1677263, 15017, 114056)","(1676954, 15437, 113945)","(1677403, 14149, 114784)","(1676363, 15705, 114268)","(1678269, 13695, 114372)","(1676989, 14744, 114603)","(1677365, 14374, 114597)","(1677744, 14441, 114151)","(1678235, 13218, 114883)","(1676053, 15822, 114461)"
KORA2456278,"(1374039, 21395, 115990)","(1374703, 21250, 115471)","(1373574, 20820, 117030)","(1374264, 20821, 116339)","(1374778, 20488, 116158)","(1372652, 21264, 117508)","(1375548, 20795, 115081)","(1374945, 20666, 115813)","(1374393, 20760, 116271)","(1375396, 20428, 115600)"
KORA2460326,"(1489330, 15471, 117215)","(1488311, 15594, 118111)","(1488454, 15537, 118025)","(1488837, 15651, 117528)","(1489062, 15534, 117420)","(1488612, 15807, 117597)","(1489378, 15651, 116987)","(1488947, 15895, 117174)","(1489039, 15766, 117211)","(1489124, 15395, 117497)"
KORA2452924,"(1367370, 14960, 129094)","(1367709, 14975, 128740)","(1366628, 15020, 129776)","(1367291, 14845, 129288)","(1367543, 14931, 128950)","(1367806, 14898, 128720)","(1367984, 15005, 128435)","(1367166, 15005, 129253)","(1367343, 15037, 129044)","(1367221, 15030, 129173)"
KORA2456928,"(1979510, 24539, 170927)","(1978491, 24591, 171894)","(1979322, 24382, 171272)","(1979683, 23966, 171327)","(1979120, 24270, 171586)","(1980692, 24006, 170278)","(1978039, 24600, 172337)","(1980020, 24157, 170799)","(1978514, 24485, 171977)","(1980056, 24392, 170528)"
KORA2453374,"(1682280, 19245, 141675)","(1683644, 17619, 141937)","(1684778, 17120, 141302)","(1680952, 20873, 141375)","(1683806, 17655, 141739)","(1681690, 20197, 141313)","(1682285, 19381, 141534)","(1682854, 18627, 141719)","(1683770, 17280, 142150)","(1682976, 18654, 141570)"
KORA2460785,"(1454787, 11324, 119041)","(1456036, 11138, 117978)","(1455555, 11265, 118332)","(1454828, 11489, 118835)","(1454453, 11418, 119281)","(1454988, 11204, 118960)","(1454907, 10973, 119272)","(1454434, 11562, 119156)","(1454738, 11092, 119322)","(1455037, 11120, 118995)"
