project,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,MC_dropout_quicknat_UKB_v2,3216216_20201_2_0s,10,,,0.8203895167107478,0.7963123864546778,0.8083509515827128,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3217492_20201_2_0b,10,,,0.7681259973634913,0.8168506466760029,0.7924883220197472,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3217776_20201_2_0b,10,,,0.5806934397605388,0.800686157028185,0.6906897983943618,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3217940_20201_2_0b,10,,,0.8555083746166549,0.881732912332838,0.8686206434747464,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3217968_20201_2_0b,10,,,0.8489602115638899,0.8585206659756414,0.8537404387697656,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3218794_20201_2_0b,10,,,0.8847437063997573,0.8143477334469718,0.8495457199233645,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3219182_20201_2_0a,10,,,0.3538000748783227,0.6047982853389566,0.4792991801086397,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3219182_20201_2_0b,10,,,0.5422689443714411,0.8423737844678301,0.6923213644196355,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3219219_20201_2_0s,10,,,0.32089508523226523,0.5413939444152926,0.4311445148237789,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3219219_20201_2_0b,10,,,0.7085325487311511,0.7601232800812633,0.7343279144062071,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3219571_20201_2_0b,10,,,0.7092720970537262,0.7957585612792071,0.7525153291664666,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3220156_20201_2_0s,10,,,0.7014301002043001,0.8119653128558498,0.756697706530075,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3220156_20201_2_0a,10,,,0.6364161849710983,0.5385181009338464,0.5874671429524724,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3221079_20201_2_0a,10,,,0.6136817832436587,0.5917219034428176,0.6027018433432382,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3222248_20201_2_0b,10,,,0.7425542053847987,0.8485162415997601,0.7955352234922795,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3222333_20201_2_0s,10,,,0.660120532003325,0.7962391848442524,0.7281798584237886,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3222333_20201_2_0b,10,,,0.6659453078890419,0.8574583176418227,0.7617018127654323,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3222728_20201_2_0s,10,,,0.8071464917736191,0.7177164873238019,0.7624314895487105,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3222947_20201_2_0a,10,,,0.7579591836734694,0.891273401777241,0.8246162927253552,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3223503_20201_2_0s,10,,,0.7353601917028606,0.824681865493738,0.7800210285982994,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3223679_20201_2_0b,10,,,0.7860852629301017,0.8546197635381696,0.8203525132341356,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3224402_20201_2_0s,10,,,0.8077935755660874,0.8368118766185483,0.8223027260923179,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3224402_20201_2_0b,10,,,0.6962870254484773,0.7679882132333244,0.7321376193409008,,,,,,,,,,,,
2,2,MC_dropout_quicknat_UKB_v2,3224450_20201_2_0a,10,,,0.8485943775100402,0.8031409195626075,0.8258676485363239,,,,,,,,,,,,
