project,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,full_bayesian_UKB_v2,1469172_20201_2_0,10,,,0.5656037637219028,0.7193696376188271,0.642486700670365,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1470280_20201_2_0,10,,,0.566445885005637,0.6944850975821364,0.6304654912938867,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1470754_20201_2_0,10,,,0,0.29533376539209333,0.14766688269604666,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1471365_20201_2_0,10,,,0,0.20834640727957326,0.10417320363978663,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1471710_20201_2_0,10,,,0.17121739661596727,0.5199456457520973,0.3455815211840323,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1471844_20201_2_0,10,,,0,0.1465917180097695,0.07329585900488475,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472015_20201_2_0,10,,,0.6075291712801295,0.4469378214118747,0.5272334963460021,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472096_20201_2_0,10,,,0.33560382916053016,0.674156390635408,0.504880109897969,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472313_20201_2_0,10,,,0.5463829332192697,0.6593504337218759,0.6028666834705727,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472444_20201_2_0,10,,,0.3805673212681299,0.5480481064881485,0.4643077138781392,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472490_20201_2_0,10,,,0.10797449308590672,0.01726752340877213,0.06262100824733942,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1472978_20201_2_0,10,,,0.09038394502265823,0.08789940468958814,0.08914167485612318,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1473255_20201_2_0,10,,,0.11687408746436766,0.16855371540006403,0.14271390143221585,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1473722_20201_2_0,10,,,0.5464039229930985,0.7122590932834795,0.629331508138289,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1473791_20201_2_0,10,,,0.00047996160307175426,0.13246171684458838,0.06647083922383007,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1473800_20201_2_0,10,,,0.08803763440860216,0.19782324506733956,0.14293043973797087,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1474616_20201_2_0,10,,,0,0.14902300272075192,0.07451150136037596,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1474727_20201_2_0,10,,,0.16427830965302762,0.041352271046012724,0.10281529034952017,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1474740_20201_2_0,10,,,0.07840891341698339,0.15505202783886105,0.11673047062792222,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1475510_20201_2_0,10,,,0.37870954033571785,0.6496567723617351,0.5141831563487265,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1475542_20201_2_0,10,,,0.5140707718027305,0.631628851259398,0.5728498115310643,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1475898_20201_2_0,10,,,0.4819666828400453,0.26061400296787374,0.3712903429039595,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477248_20201_2_0,10,,,0.5193909796035622,0.41137866139072526,0.4653848204971437,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477366_20201_2_0,10,,,0,0.0924557213033485,0.04622786065167425,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477512_20201_2_0,10,,,0,0.042351807876696984,0.021175903938348492,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477646_20201_2_0,10,,,0.3741512711195326,0.44446175131252236,0.40930651121602746,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477652_20201_2_0,10,,,0,0.20601699654047279,0.10300849827023639,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1477809_20201_2_0,10,,,0,0.12930332857987548,0.06465166428993774,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1478051_20201_2_0,10,,,0.429481850928235,0.45090419068015836,0.44019302080419664,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1478205_20201_2_0,10,,,0,0.016658787936087736,0.008329393968043868,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1478612_20201_2_0,10,,,0.0066948555320648345,0.11329841671181747,0.05999663612194115,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479036_20201_2_0,10,,,0.48910139220925325,0.6715280404600793,0.5803147163346662,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479058_20201_2_0,10,,,0.0020417092022750475,0.10874831030509766,0.05539500975368635,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479074_20201_2_0,10,,,0.022272727272727274,0.05117846919393242,0.03672559823332985,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479661_20201_2_0,10,,,0.618022480472471,0.6816045404830176,0.6498135104777443,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479905_20201_2_0,10,,,0.4802853562132459,0.6323137193602908,0.5562995377867683,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1479966_20201_2_0,10,,,0,0.054376619218117775,0.027188309609058887,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1480105_20201_2_0,10,,,0.5571823366848945,0.6877401506224704,0.6224612436536825,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1480207_20201_2_0,10,,,0.1166688320124724,0.12079025488791074,0.11872954345019157,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1480852_20201_2_0,10,,,0.04433962264150943,0.0936313046550658,0.06898546364828761,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1481139_20201_2_0,10,,,0.0913873568095036,0.07137781062565736,0.08138258371758048,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1481437_20201_2_0,10,,,0.002105854274884178,0.19749368041736137,0.09979976734612278,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1481588_20201_2_0,10,,,0.011888111888111888,0.039089017847366694,0.025488564867739292,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1481752_20201_2_0,10,,,0.36648160243849337,0.6552675690160439,0.5108745857272686,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1481957_20201_2_0,10,,,0,0.05904620668123634,0.02952310334061817,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482053_20201_2_0,10,,,0,0.0014330924941780617,0.0007165462470890309,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482180_20201_2_0,10,,,0.01242393509127789,0.15820412002142306,0.08531402755635048,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482311_20201_2_0,10,,,0.35406744141741286,0.6124189885337618,0.4832432149755873,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482389_20201_2_0,10,,,0.15870061246547376,0.5914546327412386,0.37507762260335614,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482401_20201_2_0,10,,,0,0.0613203393313177,0.03066016966565885,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482615_20201_2_0,10,,,0.36399026763990266,0.6783616476611589,0.5211759576505308,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482650_20201_2_0,10,,,0.3220505273485406,0.6458325472588009,0.48394153730367073,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482733_20201_2_0,10,,,0.19974365893146248,0.12132934763495692,0.1605365032832097,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482851_20201_2_0,10,,,0.18416052291555826,0.08303016644666945,0.13359534468111386,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1482969_20201_2_0,10,,,0.37990317162335735,0.7193251195697692,0.5496141455965633,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1483570_20201_2_0,10,,,0.5924561762499148,0.7360968643778033,0.664276520313859,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1483828_20201_2_0,10,,,0,0.2796133197086922,0.1398066598543461,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484452_20201_2_0,10,,,0,0.11167200827351757,0.055836004136758786,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484525_20201_2_0,10,,,0,0.12094923504867872,0.06047461752433936,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484614_20201_2_0,10,,,0,0.09515007205965285,0.04757503602982643,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484641_20201_2_0,10,,,0.010297801280267187,0.1253574464796352,0.0678276238799512,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484743_20201_2_0,10,,,0,0.10263572752164173,0.05131786376082086,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1484765_20201_2_0,10,,,0.4493988874932711,0.5542083230731347,0.5018036052832029,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1485037_20201_2_0,10,,,0.13859780439121758,0.21788951271389426,0.17824365855255592,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1485065_20201_2_0,10,,,0.3726291803498425,0.622548231080226,0.4975887057150343,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1485491_20201_2_0,10,,,0.09088991986503585,0.12855227660173124,0.10972109823338355,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1485808_20201_2_0,10,,,0.042735042735042736,0.3328557083704715,0.18779537555275713,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1485841_20201_2_0,10,,,0.5488234076323235,0.7298469066508356,0.6393351571415795,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1486708_20201_2_0,10,,,0.42748524738992283,0.7132476044598013,0.5703664259248621,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1486759_20201_2_0,10,,,0.08155080213903744,0.03072473894646947,0.05613777054275346,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1486777_20201_2_0,10,,,0.24609258337481335,0.49651828672496323,0.3713054350498883,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1486907_20201_2_0,10,,,0.013020833333333334,0.18737857420401818,0.10019970376867576,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487258_20201_2_0,10,,,0.43138572688705,0.6333289896620624,0.5323573582745562,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487263_20201_2_0,10,,,0.06238516055647913,0.4168353149506704,0.23961023775357476,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487373_20201_2_0,10,,,0.060393727060393726,0.22148078599691504,0.14093725652865438,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487396_20201_2_0,10,,,0.5401675702316412,0.6899570605379669,0.615062315384804,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487405_20201_2_0,10,,,0.004833512352309345,0.11242634865751684,0.058629930504913094,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487760_20201_2_0,10,,,0.02731001727115717,0.0921869793086734,0.05974849828991528,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1487940_20201_2_0,10,,,0.0509716898661825,0.0866825510093008,0.06882712043774165,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1488008_20201_2_0,10,,,0.5241929180020324,0.6502324690661871,0.5872126935341098,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1488391_20201_2_0,10,,,0.00583941605839416,0.05567500931739342,0.03075721268789379,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1488478_20201_2_0,10,,,0.5887071891391545,0.4059227959607534,0.497314992549954,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1488572_20201_2_0,10,,,0.47278964603149853,0.6835558824638829,0.5781727642476907,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1488866_20201_2_0,10,,,0.0853840994686065,0.06043041606886657,0.07290725776873654,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1489305_20201_2_0,10,,,0.44930783388013124,0.58138445636023,0.5153461451201806,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1489613_20201_2_0,10,,,0.5139020039869898,0.04169539721379799,0.2777987006003939,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1489817_20201_2_0,10,,,0.1265944645006017,0.20851791404367762,0.16755618927213967,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1490439_20201_2_0,10,,,0,0.08946848774066152,0.04473424387033076,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1490872_20201_2_0,10,,,0.5327556325823224,0.7670758459743291,0.6499157392783257,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491219_20201_2_0,10,,,0.5797312779918758,0.7372097778181653,0.6584705279050206,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491370_20201_2_0,10,,,0.4578544061302682,0.7473919236247449,0.6026231648775066,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491414_20201_2_0,10,,,0,0.36026402327947193,0.18013201163973597,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491863_20201_2_0,10,,,0,0.08658666752919106,0.04329333376459553,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491902_20201_2_0,10,,,0.6544810574916198,0.7297182435303983,0.6920996505110091,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491964_20201_2_0,10,,,0.31585319230279085,0.34975420261954693,0.3328036974611689,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1491996_20201_2_0,10,,,0,0.10554823004361497,0.05277411502180748,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1492004_20201_2_0,10,,,0.03425750094948728,0.03545735749005745,0.03485742921977236,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1492107_20201_2_0,10,,,0.06901593800263196,0.13156638725651046,0.10029116262957122,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1492731_20201_2_0,10,,,0.2505693581780538,0.5886264372938764,0.4195978977359651,,,,,,,,,,,,
0,2,full_bayesian_UKB_v2,1492944_20201_2_0,10,,,0,0.1619034595925065,0.08095172979625324,,,,,,,,,,,,
